year,postcode,total_population,median_total_personal_income_weekly,median_total_family_income_weekly,labor_force
2011,2784,1215,555,1432,319
2011,2785,4569,530,1165,1413
2011,2786,995,447,1028,330
2011,2787,4234,518,1216,1235
2011,2790,14814,452,1195,5102
2011,2791,695,574,1548,181
2011,2792,496,456,847,127
2011,2793,1134,379,924,405
2011,2794,10003,421,1012,3369
2011,2795,39878,546,1434,10733
2011,2797,219,410,887,86
2011,2798,2383,639,1688,509
2011,2799,3842,503,1266,1104
2011,2800,41362,589,1500,10561
2011,2803,303,397,749,105
2011,2804,2626,413,981,860
2011,2805,295,363,733,110
2011,2806,914,447,1060,294
2011,2807,258,322,654,129
2011,2808,227,391,744,95
2011,2809,320,366,785,104
2011,2810,2976,388,895,1101
2011,2820,7877,405,936,2903
2011,2821,4942,500,1098,1288
2011,2823,1407,470,1024,389
2011,2824,2325,475,1070,630
2011,2825,2690,480,1199,676
2011,2827,3585,403,923,1160
2011,2828,582,366,809,229
2011,2829,3178,462,1027,919
2011,2830,37735,579,1345,9053
2011,2831,3888,480,1076,833
2011,2832,2747,451,1210,763
2011,2833,768,430,1025,212
2011,2834,2492,350,764,1016
2011,2835,4243,637,1734,889
2011,2836,927,373,827,252
2011,2839,1415,378,861,419
2011,2840,2869,600,1234,566
2011,2842,451,323,613,211
2011,2843,1278,406,975,360
2011,2844,1430,374,868,460
2011,2845,1902,491,1412,530
2011,2846,372,393,956,122
2011,2847,2308,412,1091,828
2011,2848,1726,347,796,762
2011,2849,1601,395,1074,558
2011,2850,15945,479,1266,4567
2011,2852,3359,429,1182,1005
2011,2864,1148,581,1472,248
2011,2865,728,473,1138,187
2011,2866,2797,510,1231,813
2011,2867,613,436,940,176
2011,2868,519,380,879,204
2011,2869,1476,366,862,511
2011,2870,12219,487,1193,3361
2011,2871,8891,458,1014,2708
2011,2873,635,378,777,179
2011,2874,373,442,900,117
2011,2875,1039,398,931,300
2011,2876,307,366,744,96
2011,2877,4122,448,972,1166
2011,2878,200,500,1093,83
2011,2879,860,397,929,284
2011,2880,19210,421,996,6505
2011,2898,360,629,1347,78
2011,3000,20627,545,1446,6169
2011,3002,4714,1164,2693,886
2011,3003,3744,800,2006,891
2011,3004,7737,1103,2544,1619
2011,3005,692,1056,2416,88
2011,3006,11302,988,2235,2327
2011,3008,5096,1062,2417,906
2011,3010,1517,131,3650,617
2011,3011,18053,557,1435,4389
2011,3012,23127,546,1402,5991
2011,3013,13747,767,2032,2958
2011,3015,16157,761,2077,3462
2011,3016,14747,753,2362,3558
2011,3018,11779,573,1564,3682
2011,3019,8180,339,894,2690
2011,3020,40552,376,1003,13878
2011,3021,51783,361,967,17864
2011,3022,2823,416,1002,910
2011,3023,55703,605,1490,12879
2011,3024,17996,652,1444,3556
2011,3025,11379,393,1049,4071
2011,3026,91,450,749,27
2011,3027,3223,811,1880,473
2011,3028,27781,517,1335,7432
2011,3029,68426,618,1492,14897
2011,3030,77755,648,1649,16510
2011,3031,17245,762,1953,3714
2011,3032,25343,709,1892,5497
2011,3033,13259,508,1385,4245
2011,3034,10989,440,1282,4024
2011,3036,5843,644,1845,1523
2011,3037,46878,603,1558,9515
2011,3038,28158,525,1618,7185
2011,3039,13531,763,2190,3176
2011,3040,23868,719,2147,5566
2011,3041,11330,680,2026,2725
2011,3042,14372,555,1463,4291
2011,3043,17350,542,1337,5075
2011,3044,24420,585,1577,6756
2011,3045,142,730,2166,17
2011,3046,30802,451,1202,10149
2011,3047,19001,324,843,7269
2011,3048,18107,319,884,6765
2011,3049,8785,595,1567,2059
2011,3051,11755,613,1734,2902
2011,3052,4673,533,1939,1522
2011,3053,13509,366,1295,4901
2011,3054,8296,840,2285,1685
2011,3055,13149,651,1630,3228
2011,3056,22764,685,1809,5044
2011,3057,8476,741,1933,1798
2011,3058,31550,530,1473,8757
2011,3059,11969,549,1748,2798
2011,3060,12596,362,995,4784
2011,3061,5467,310,824,2286
2011,3062,3,0,0,0
2011,3063,679,565,1442,199
2011,3064,53174,528,1370,12418
2011,3065,9430,788,1917,2021
2011,3066,6467,743,1723,1340
2011,3067,4907,858,2233,986
2011,3068,17267,879,2370,3544
2011,3070,22920,736,2031,5225
2011,3071,17435,640,1611,4242
2011,3072,29925,518,1373,8271
2011,3073,47637,434,1156,16074
2011,3074,20331,360,962,7832
2011,3075,19874,361,987,7567
2011,3076,26346,542,1370,6570
2011,3078,10549,743,2137,2324
2011,3079,14848,748,2274,3629
2011,3081,13445,452,1169,4254
2011,3082,30518,538,1457,7337
2011,3083,28071,473,1367,8763
2011,3084,24272,672,1925,6719
2011,3085,13737,658,1823,3539
2011,3086,1003,173,0,471
2011,3087,8984,589,1529,2524
2011,3088,26465,646,1783,6356
2011,3089,11504,691,2033,2146
2011,3090,2093,696,2257,415
2011,3091,1510,667,2075,329
2011,3093,3782,724,2088,1084
2011,3094,8759,678,1806,2027
2011,3095,27642,716,2175,5486
2011,3096,1946,624,1902,441
2011,3097,1295,682,2058,301
2011,3099,4878,661,1809,990
2011,3101,23876,841,2577,6273
2011,3102,6017,758,2198,1474
2011,3103,15323,650,2144,4952
2011,3104,20317,629,2140,6053
2011,3105,10868,510,1469,3659
2011,3106,16484,615,1959,4770
2011,3107,13152,571,1682,4237
2011,3108,18360,525,1445,6530
2011,3109,27047,533,1540,8481
2011,3111,11794,631,1926,3304
2011,3113,8476,718,2267,1773
2011,3114,3718,720,2437,847
2011,3115,3833,725,2319,762
2011,3116,9125,587,1563,2352
2011,3121,26121,927,2188,5140
2011,3122,21177,830,2492,4847
2011,3123,13102,862,2556,2873
2011,3124,20029,792,2613,5445
2011,3125,13162,411,1569,4794
2011,3126,7857,805,2763,2360
2011,3127,18089,769,2552,4375
2011,3128,17370,499,1569,5103
2011,3129,16062,577,1678,4606
2011,3130,30409,591,1788,8507
2011,3131,21001,563,1509,6149
2011,3132,14811,651,1755,3739
2011,3133,21316,578,1721,6129
2011,3134,31100,618,1729,7750
2011,3135,19003,620,1612,5013
2011,3136,40964,597,1567,10582
2011,3137,13096,578,1461,3311
2011,3138,20689,595,1551,4858
2011,3139,13545,565,1389,2983
2011,3140,15649,591,1548,3745
2011,3141,19134,1024,2391,3845
2011,3142,12871,1031,2746,3804
2011,3143,8760,953,2552,2037
2011,3144,10306,919,2675,2663
2011,3145,21301,699,2380,5490
2011,3146,24948,837,2563,5631
2011,3147,13647,609,2020,3779
2011,3148,7821,509,1461,2222
2011,3149,32077,567,1649,10234
2011,3150,58305,540,1617,18972
2011,3151,10141,459,1404,3617
2011,3152,31237,574,1702,8720
2011,3153,19658,594,1428,4865
2011,3154,4229,649,1629,805
2011,3155,20825,588,1392,5468
2011,3156,35655,603,1613,8336
2011,3158,6964,640,1783,1339
2011,3159,2573,652,1761,510
2011,3160,9094,622,1672,1877
2011,3161,14555,822,2339,3672
2011,3162,16435,707,2117,4259
2011,3163,29553,664,1770,7274
2011,3165,25924,595,1695,6884
2011,3166,22341,557,1607,6045
2011,3167,9140,499,1468,2679
2011,3168,16892,357,1146,6364
2011,3169,19089,414,1199,6260
2011,3170,17647,543,1473,5086
2011,3171,19771,352,922,7108
2011,3172,22369,482,1274,6551
2011,3173,19885,481,1317,5757
2011,3174,35768,412,1042,11878
2011,3175,47993,393,1014,16316
2011,3177,10255,370,917,3612
2011,3178,34777,634,1799,7275
2011,3179,5892,596,1617,1362
2011,3180,7140,598,1478,1926
2011,3181,18263,927,2269,3610
2011,3182,20645,961,2249,3365
2011,3183,17954,840,1967,3426
2011,3184,14638,1061,2388,2001
2011,3185,12220,811,2179,2573
2011,3186,21257,883,2681,6248
2011,3187,15814,730,2453,4422
2011,3188,16876,699,2280,4296
2011,3189,5283,593,1635,1464
2011,3190,10263,662,1826,2533
2011,3191,9309,783,2548,2569
2011,3192,20292,597,1622,5769
2011,3193,18773,746,2345,5217
2011,3194,11667,664,1770,3219
2011,3195,34102,674,1890,7844
2011,3196,23590,623,1593,6219
2011,3197,11187,649,1719,2743
2011,3198,16033,559,1333,4487
2011,3199,52626,541,1335,15110
2011,3200,5626,382,887,2076
2011,3201,19122,591,1339,4308
2011,3202,2768,713,1947,569
2011,3204,28185,661,2000,6847
2011,3205,9317,920,2451,2266
2011,3206,10017,1037,2697,2376
2011,3207,14521,1091,2616,3092
2011,3211,1393,600,1575,310
2011,3212,14146,580,1592,3828
2011,3214,23440,371,894,8457
2011,3215,19820,464,1214,6478
2011,3216,52004,554,1492,14914
2011,3217,1255,502,1750,273
2011,3218,12612,592,1537,3114
2011,3219,20053,485,1153,6123
2011,3220,15287,644,1820,3922
2011,3221,7926,546,1567,1972
2011,3222,12066,492,1271,3934
2011,3223,6497,409,942,2988
2011,3224,10111,546,1391,2743
2011,3225,3881,565,1379,1593
2011,3226,12555,586,1477,3446
2011,3227,4332,676,1757,1042
2011,3228,14648,673,1713,3267
2011,3230,2454,530,1253,803
2011,3231,1420,546,1323,418
2011,3232,1046,539,1142,324
2011,3233,1736,493,1029,527
2011,3235,373,530,1011,80
2011,3236,238,390,1078,63
2011,3237,479,418,914,133
2011,3238,202,519,1291,42
2011,3239,383,453,939,123
2011,3240,2080,588,1648,443
2011,3241,2234,449,1087,714
2011,3242,741,517,1224,182
2011,3243,634,534,1382,127
2011,3249,2904,528,1239,651
2011,3250,11778,498,1174,3672
2011,3251,654,392,978,213
2011,3254,383,515,1260,86
2011,3260,4456,466,1081,1422
2011,3264,2348,459,1154,772
2011,3265,2778,542,1359,531
2011,3266,3426,515,1216,903
2011,3267,289,585,1312,48
2011,3268,2553,545,1229,574
2011,3269,970,554,1259,176
2011,3270,142,652,933,67
2011,3272,1669,448,1012,536
2011,3273,123,592,1100,26
2011,3274,351,482,1212,78
2011,3275,471,503,1180,86
2011,3276,510,602,1367,83
2011,3277,1891,634,1535,350
